team,coach,playstyle,player,position,creation,conversion,suppression,prevention,goalkeeping,stamina,discipline,total
Czech Republic,Jeanne Edwards,hyper-defensive,Nathan Smith,F,1.038,-1.181,0.702,0.010,0.000,0.550,0.293,0.569
Czech Republic,Jeanne Edwards,hyper-defensive,Christopher White,F,0.354,1.509,-0.394,-1.643,0.000,-1.652,1.147,-0.174
Czech Republic,Jeanne Edwards,hyper-defensive,Eric Greer,F,-0.471,0.515,0.777,1.131,0.000,2.030,2.069,1.952
Czech Republic,Jeanne Edwards,hyper-defensive,Charles Woods,F,-0.940,-0.684,0.670,-0.386,0.000,-2.001,1.100,-1.340
Czech Republic,Jeanne Edwards,hyper-defensive,Juan Miller,F,1.935,-1.019,1.419,-2.023,0.000,-0.622,-1.093,0.313
Czech Republic,Jeanne Edwards,hyper-defensive,Chris Lindsey,D,1.036,0.431,-0.976,0.393,0.000,0.262,-0.751,0.884
Czech Republic,Jeanne Edwards,hyper-defensive,David Griffin,D,0.506,-0.003,1.326,-0.119,0.000,-0.140,-0.050,1.710
Czech Republic,Jeanne Edwards,hyper-defensive,Jeffrey Banks,D,-0.364,0.495,-1.312,-0.265,0.000,0.670,0.151,-1.446
Czech Republic,Jeanne Edwards,hyper-defensive,William Allen,D,0.894,-0.476,-0.029,1.010,0.000,-1.481,-1.046,1.398
Czech Republic,Jeanne Edwards,hyper-defensive,Peter Duffy,G,0.000,0.000,0.000,0.000,-2.279,-1.160,0.074,-2.279
Slovakia,Trevor Perez,hyper-defensive,Ronnie Williams,F,-0.431,1.153,0.902,-0.158,0.000,-0.137,-1.577,1.467
Slovakia,Trevor Perez,hyper-defensive,Nathan Peterson,F,0.684,-0.367,-1.192,0.108,0.000,0.837,-1.612,-0.767
Slovakia,Trevor Perez,hyper-defensive,Andrew Nicholson,F,-0.409,-0.502,2.704,-0.916,0.000,2.612,0.507,0.877
Slovakia,Trevor Perez,hyper-defensive,Randy Wall,F,-0.854,-0.398,0.066,-0.986,0.000,-0.450,0.613,-2.172
Slovakia,Trevor Perez,hyper-defensive,Robert Brown,F,-0.537,0.522,-0.497,1.416,0.000,-0.549,-1.170,0.904
Slovakia,Trevor Perez,hyper-defensive,Joshua Pearson,F,-1.264,1.791,0.877,0.833,0.000,0.719,-1.335,2.238
Slovakia,Trevor Perez,hyper-defensive,Philip Marshall,D,0.345,0.589,-1.032,0.471,0.000,-1.250,0.500,0.372
Slovakia,Trevor Perez,hyper-defensive,Edward Cantrell,D,-0.562,0.414,-0.947,0.031,0.000,-1.313,0.831,-1.064
Slovakia,Trevor Perez,hyper-defensive,Bryan Rios,D,-0.205,0.157,-0.447,-0.032,0.000,0.625,-0.801,-0.527
Slovakia,Trevor Perez,hyper-defensive,Christian Johnson,D,0.335,-0.950,1.103,2.321,0.000,-0.750,-0.688,2.810
Slovakia,Trevor Perez,hyper-defensive,Ryan Young,G,0.000,0.000,0.000,0.000,1.038,0.150,-1.799,1.038
Belarus,Vincent Lucas,hyper-offensive,Jason Cook,F,-0.657,-0.083,0.472,0.042,0.000,0.247,-0.211,-0.226
Belarus,Vincent Lucas,hyper-offensive,Michael Cooke,F,-1.705,-1.506,-0.281,0.638,0.000,-2.705,0.646,-2.854
Belarus,Vincent Lucas,hyper-offensive,Brian Sanders,F,1.654,-1.056,0.398,-1.216,0.000,-1.437,1.385,-0.221
Belarus,Vincent Lucas,hyper-offensive,Robert Jimenez,F,-0.307,0.987,1.402,-0.141,0.000,-1.836,-0.409,1.941
Belarus,Vincent Lucas,hyper-offensive,Kevin Lewis,F,-0.985,-0.502,-0.209,0.028,0.000,0.431,-0.321,-1.667
Belarus,Vincent Lucas,hyper-offensive,Johnny Hill,F,0.303,0.270,-0.306,-1.361,0.000,0.336,0.515,-1.095
Belarus,Vincent Lucas,hyper-offensive,Tyler Booker,D,-2.936,-0.644,-1.318,1.935,0.000,-0.221,-1.111,-2.962
Belarus,Vincent Lucas,hyper-offensive,Christopher Acevedo,D,0.276,-0.052,-0.638,0.194,0.000,-1.101,2.691,-0.219
Belarus,Vincent Lucas,hyper-offensive,John Hayes,D,0.343,0.281,-0.906,-0.165,0.000,0.271,0.109,-0.446
Belarus,Vincent Lucas,hyper-offensive,Randall Gillespie,D,-0.909,1.088,-0.351,1.602,0.000,0.207,-0.118,1.430
Belarus,Vincent Lucas,hyper-offensive,Christopher Warren,G,0.000,0.000,0.000,0.000,-1.149,0.180,-3.353,-1.149
Germany,Paul Leach,hyper-defensive,John Sutton,F,0.846,0.891,0.266,-1.176,0.000,0.569,-0.159,0.827
Germany,Paul Leach,hyper-defensive,Roberto Wells,F,-1.206,-0.363,-1.240,-0.131,0.000,-0.331,0.010,-2.939
Germany,Paul Leach,hyper-defensive,Gregory Fox,F,0.379,-0.172,0.205,-0.726,0.000,-1.209,-1.151,-0.314
Germany,Paul Leach,hyper-defensive,Alexander Johnson,F,-2.080,-1.084,-1.025,1.405,0.000,-1.140,-0.910,-2.784
Germany,Paul Leach,hyper-defensive,Daniel Chapman,F,0.157,-1.323,-0.967,-0.619,0.000,2.399,0.247,-2.752
Germany,Paul Leach,hyper-defensive,Zachary Brennan,F,0.556,-0.824,-0.922,0.467,0.000,0.751,0.405,-0.724
Germany,Paul Leach,hyper-defensive,Michael Mckinney,D,-0.362,-1.581,0.690,-1.833,0.000,-0.209,0.377,-3.086
Germany,Paul Leach,hyper-defensive,Michael Vazquez,D,0.966,1.220,-0.180,-1.817,0.000,-0.131,0.776,0.189
Germany,Paul Leach,hyper-defensive,Tyler Garza,D,0.199,0.969,2.161,0.581,0.000,0.510,-0.229,3.910
Germany,Paul Leach,hyper-defensive,Andrew Kline,D,-2.162,0.361,-1.154,-0.787,0.000,-0.650,2.747,-3.743
Germany,Paul Leach,hyper-defensive,Steven Acosta,G,0.000,0.000,0.000,0.000,0.104,-0.764,0.031,0.104
Switzerland,Hayley Gutierrez,hyper-offensive,Mark Boone,F,0.582,-0.930,0.019,-0.646,0.000,-0.498,-1.989,-0.975
Switzerland,Hayley Gutierrez,hyper-offensive,Taylor Lopez,F,1.025,-0.716,-0.704,1.072,0.000,-0.087,-0.481,0.677
Switzerland,Hayley Gutierrez,hyper-offensive,Jason Tucker,F,0.264,2.664,-0.475,-0.193,0.000,-0.299,1.066,2.260
Switzerland,Hayley Gutierrez,hyper-offensive,Steven Williams,F,-2.038,-0.775,0.427,-0.761,0.000,0.394,-0.227,-3.147
Switzerland,Hayley Gutierrez,hyper-offensive,Leslie Tyler,F,0.336,0.558,0.425,-0.958,0.000,-1.728,0.772,0.361
Switzerland,Hayley Gutierrez,hyper-offensive,Matthew Brown,F,-2.026,0.197,-0.143,-0.969,0.000,-1.071,-0.968,-2.941
Switzerland,Hayley Gutierrez,hyper-offensive,Christopher Bowers,D,-0.522,-1.159,1.061,-1.845,0.000,-2.157,-0.157,-2.465
Switzerland,Hayley Gutierrez,hyper-offensive,Justin Burke,D,0.254,1.380,0.211,0.959,0.000,-0.992,-0.439,2.804
Switzerland,Hayley Gutierrez,hyper-offensive,Joseph Morris,D,-0.345,0.470,-0.358,0.465,0.000,-1.074,1.174,0.232
Switzerland,Hayley Gutierrez,hyper-offensive,Richard Herrera,D,-0.411,0.668,0.126,0.662,0.000,-1.720,0.377,1.046
Switzerland,Hayley Gutierrez,hyper-offensive,David Williams,G,0.000,0.000,0.000,0.000,0.379,2.690,0.499,0.379
Austria,Kenneth Murray,balanced,Gerald Gray,F,0.129,0.306,0.227,0.531,0.000,-0.733,-0.899,1.194
Austria,Kenneth Murray,balanced,Eric Smith,F,-0.384,-0.234,0.533,-0.943,0.000,0.897,0.410,-1.028
Austria,Kenneth Murray,balanced,Joseph Molina,F,-2.069,-0.275,0.623,-0.975,0.000,1.149,1.354,-2.696
Austria,Kenneth Murray,balanced,Matthew Smith,F,-0.652,-1.628,-1.093,-0.105,0.000,2.553,-0.566,-3.478
Austria,Kenneth Murray,balanced,Robert Stokes,F,-0.409,1.586,0.465,-0.500,0.000,1.470,-0.665,1.142
Austria,Kenneth Murray,balanced,Jeffrey Smith,F,-0.152,0.090,0.177,0.123,0.000,1.089,1.063,0.239
Austria,Kenneth Murray,balanced,Stanley Brewer,D,0.669,-0.065,-0.615,-0.623,0.000,-0.053,2.774,-0.635
Austria,Kenneth Murray,balanced,Alexander Mckinney,D,-0.131,-0.373,-0.339,0.157,0.000,0.677,-1.284,-0.686
Austria,Kenneth Murray,balanced,Matthew Perkins,D,-0.077,-1.222,-0.594,0.805,0.000,0.466,-1.357,-1.087
Austria,Kenneth Murray,balanced,Steven Griffin,D,-0.455,-0.811,-1.491,-0.719,0.000,0.832,-1.092,-3.477
Austria,Kenneth Murray,balanced,Bradley Hansen,G,0.000,0.000,0.000,0.000,-0.979,1.172,0.454,-0.979
Italy,Ryan Gibbs,star-centric,Ronald Price,F,-0.398,0.779,-0.337,0.535,0.000,1.991,-0.140,0.579
Italy,Ryan Gibbs,star-centric,Richard Zamora,F,0.774,-0.271,-1.278,-2.156,0.000,-1.886,-0.071,-2.931
Italy,Ryan Gibbs,star-centric,William Smith,F,-0.308,-0.518,0.792,0.587,0.000,-1.155,-0.857,0.554
Italy,Ryan Gibbs,star-centric,Jacob Hernandez,F,-0.909,-0.240,0.637,-0.110,0.000,-0.003,-0.138,-0.622
Italy,Ryan Gibbs,star-centric,Trevor Jones,F,-0.307,0.714,0.951,0.396,0.000,1.389,-1.035,1.754
Italy,Ryan Gibbs,star-centric,Mark Harris,F,0.585,-0.228,-0.137,1.239,0.000,-0.687,0.867,1.460
Italy,Ryan Gibbs,star-centric,Caleb Smith,D,-0.158,0.333,1.126,-1.214,0.000,1.186,1.102,0.087
Italy,Ryan Gibbs,star-centric,Aaron Rice,D,0.323,-1.480,-1.288,-0.863,0.000,0.339,0.097,-3.308
Italy,Ryan Gibbs,star-centric,Adam Pope,D,0.256,0.454,-0.914,0.416,0.000,-1.157,0.668,0.212
Italy,Ryan Gibbs,star-centric,Brandon Williams,D,1.078,0.557,1.544,-0.240,0.000,-0.106,1.435,2.938
Italy,Ryan Gibbs,star-centric,Michael Collins,G,0.000,0.000,0.000,0.000,-1.098,1.207,0.241,-1.098
Latvia,Michael Sims,hyper-defensive,Daniel Doyle,F,0.341,0.627,0.678,-0.138,0.000,1.687,2.604,1.507
Latvia,Michael Sims,hyper-defensive,Aaron Rivera,F,1.429,0.302,-0.907,-0.635,0.000,-1.148,-0.166,0.188
Latvia,Michael Sims,hyper-defensive,Mark Holmes,F,0.887,-0.306,-0.098,-1.067,0.000,1.525,0.228,-0.584
Latvia,Michael Sims,hyper-defensive,Zachary Jackson,F,-0.636,1.548,0.133,0.877,0.000,-0.897,-0.035,1.921
Latvia,Michael Sims,hyper-defensive,Carlos Peterson,F,0.821,1.140,0.383,0.276,0.000,0.848,-1.851,2.620
Latvia,Michael Sims,hyper-defensive,Guy Castillo,F,-1.009,1.431,0.369,0.433,0.000,-1.435,-0.489,1.225
Latvia,Michael Sims,hyper-defensive,David Colon,D,-0.898,0.167,-0.133,2.161,0.000,0.940,0.349,1.297
Latvia,Michael Sims,hyper-defensive,Daniel Sanders,D,0.613,-1.428,-0.273,0.813,0.000,-0.951,0.441,-0.275
Latvia,Michael Sims,hyper-defensive,Ryan Butler,D,3.109,1.753,-0.256,0.144,0.000,-0.493,-1.675,4.750
Latvia,Michael Sims,hyper-defensive,Paul Rodriguez,D,-0.880,-0.109,-0.330,-0.694,0.000,0.042,-1.060,-2.014
Latvia,Michael Sims,hyper-defensive,Christopher Osborne,G,0.000,0.000,0.000,0.000,0.063,0.962,0.070,0.063
Estonia,Danielle Miller,star-centric,Matthew Bradford,F,-0.535,0.766,0.028,-0.227,0.000,-0.889,-0.058,0.032
Estonia,Danielle Miller,star-centric,Samuel Davis,F,-0.324,-0.896,0.016,-1.028,0.000,-0.876,-0.978,-2.232
Estonia,Danielle Miller,star-centric,Ryan Johnson,F,-0.074,-1.216,0.514,0.715,0.000,0.124,-1.525,-0.061
Estonia,Danielle Miller,star-centric,James Garcia,F,-0.709,0.447,-0.235,0.560,0.000,-0.190,-0.162,0.063
Estonia,Danielle Miller,star-centric,Matthew Malone,F,0.300,-2.429,-1.595,0.080,0.000,0.470,0.532,-3.644
Estonia,Danielle Miller,star-centric,Benjamin Clayton,F,0.098,0.508,-1.419,-0.392,0.000,1.391,-0.606,-1.205
Estonia,Danielle Miller,star-centric,Christopher Flores 2,D,0.118,0.003,0.331,0.573,0.000,-0.398,0.149,1.025
Estonia,Danielle Miller,star-centric,Kenneth Vasquez,D,1.064,0.621,0.945,1.103,0.000,0.785,-1.638,3.733
Estonia,Danielle Miller,star-centric,Dakota Edwards,D,1.827,-0.145,-0.575,-0.325,0.000,-0.417,-0.132,0.783
Estonia,Danielle Miller,star-centric,Benjamin Christensen,D,0.541,-0.142,-0.575,-0.525,0.000,0.458,1.082,-0.700
Estonia,Danielle Miller,star-centric,Lawrence Phillips,G,0.000,0.000,0.000,0.000,0.749,1.746,-0.501,0.749
Lithuania,Daryl Horton,star-centric,Michael Ramos,F,-0.588,0.801,0.192,1.028,0.000,-1.261,0.600,1.434
Lithuania,Daryl Horton,star-centric,David Alvarez,F,-0.007,-0.528,1.854,-0.730,0.000,0.337,-1.830,0.588
Lithuania,Daryl Horton,star-centric,Daniel Reed,F,-0.396,1.056,-0.934,1.915,0.000,-0.369,-0.941,1.641
Lithuania,Daryl Horton,star-centric,Andrew Arnold,F,-2.146,-1.323,0.843,-0.833,0.000,1.282,0.752,-3.458
Lithuania,Daryl Horton,star-centric,Ricky Stevens,F,0.353,0.686,1.917,-0.657,0.000,-0.974,-0.126,2.299
Lithuania,Daryl Horton,star-centric,Eric Grant,F,-0.612,0.463,0.130,0.174,0.000,-0.192,1.125,0.156
Lithuania,Daryl Horton,star-centric,Alexander Oconnor,D,0.347,0.599,-1.399,0.956,0.000,-1.189,-0.653,0.504
Lithuania,Daryl Horton,star-centric,Matthew Guerrero,D,0.608,1.139,-0.048,-1.158,0.000,-0.163,0.171,0.542
Lithuania,Daryl Horton,star-centric,Anthony Whitaker,D,0.193,-0.509,-0.581,1.089,0.000,-0.763,1.542,0.193
Lithuania,Daryl Horton,star-centric,Eric Willis,D,-0.369,0.952,0.161,-0.248,0.000,-0.385,2.520,0.497
Lithuania,Daryl Horton,star-centric,Jay Lopez,G,0.000,0.000,0.000,0.000,0.895,-0.061,0.849,0.895
Poland,Sarah Holmes,complementary,Philip Jimenez,F,-1.142,-0.014,0.797,-0.707,0.000,-0.218,0.761,-1.066
Poland,Sarah Holmes,complementary,Anthony Moreno,F,-0.742,0.994,-0.726,0.167,0.000,0.983,0.094,-0.306
Poland,Sarah Holmes,complementary,Daniel Mayo,F,-1.496,-2.065,-0.782,-0.069,0.000,-1.124,-1.243,-4.413
